entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 2
Dungeon Quest LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2b0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2e8>, <discrete.lib.automaton.mine_aps.MineInfoAutAP object at 0x2aefd48dd320>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 400000
LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


Starting training at: 2024-07-30 16:25:47
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2aefd48dd1d0>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(16,)
Automaton Num States: 5
Action Space: Box(1,)
input shape: (16,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (16,)
input shape: (16,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Output Directory Already Exists
Completed Steps:   131000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   132000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   133000 || Avg Steps: 1000 || Avg Rew: -0.199
Completed Steps:   134000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   135000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   136000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   137000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   138000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   139000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   140000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   141000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   142000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   143000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   144000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   145000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   146000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   147000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   148000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   149000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   150000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   151000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   152000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   153000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   154000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   155000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   156000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   157000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   158000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   159000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   160000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   161000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   162000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   163000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   164000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   165000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   166000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   167000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   168000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   169000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   170000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   171000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   172000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   173000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   174000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   175000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   176000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   177000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   178000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   179000 || Avg Steps:  990 || Avg Rew: -0.200
