entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 1
Dungeon Quest LTLF: F(sword) & (!sword U key)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cbe0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cc18>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 1000000
LTLF: F(sword) & (!sword U key)
============================================


Starting training at: 2024-07-23 22:23:07
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2b171000cb70>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(13,)
Automaton Num States: 4
Action Space: Box(1,)
input shape: (13,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (13,)
input shape: (13,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Completed Steps:   148000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   149000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   150000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   151000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   152000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   153000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   154000 || Avg Steps:  990 || Avg Rew: -0.098
Completed Steps:   155000 || Avg Steps:  980 || Avg Rew: -0.100
Completed Steps:   156000 || Avg Steps:  980 || Avg Rew: -0.100
Completed Steps:   157000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   158000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   159000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   160000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   161000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   162000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   163000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   164000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   165000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   166000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   167000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   168000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   169000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   170000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   171000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   172000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   173000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   174000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   175000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   176000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   177000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   178000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   179000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   180000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   181000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   182000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   183000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   184000 || Avg Steps:  990 || Avg Rew: -0.100
